Unique_Funder,Matched_Funder,Matched_Code,Reliable(Y/N)
Sichuan Province Science and Technology Support Program,"Science and Technology Department of Sichuan Province (China, Chengdu)",41___SCIENCE_AND_TECHNOLOGY_DEPARTMENT_OF_SICHUAN_PROVINCE_(CHENGDU),
Simons Foundation Autism Research Initiative,"Autism Initiatives (United Kingdom, Liverpool)",41___AUTISM_INITIATIVES_(LIVERPOOL),
Sleep Research Society Foundation,"Sleep Research Society (United States, Darien) - SRS",41___SLEEP_RESEARCH_SOCIETY_(DARIEN),
Social Sciences and Humanities Research Council of Canada,"Social Sciences and Humanities Research Council (Canada, Ottawa) - SSHRC",41___SOCIAL_SCIENCES_AND_HUMANITIES_RESEARCH_COUNCIL_(OTTAWA),
State Key Laboratory of Chemo/Biosensing and Chemometrics,"State Key Laboratory of Chemobiosensing and Chemometrics (China, Changsha)",41___STATE_KEY_LABORATORY_OF_CHEMOBIOSENSING_AND_CHEMOMETRICS_(CHANGSHA),
Svenska Forskningsrådet Formas,"Forskningsrådet i Sydöstra Sverige (Sweden, Linköping) - FORSS",41___FORSKNINGSRÅDET_I_SYDÖSTRA_SVERIGE_(LINKÖPING),
Swedish Cancer Foundation,"Swedish Cancer Society (Sweden, Stockholm)",41___SWEDISH_CANCER_SOCIETY_(STOCKHOLM),
Tempus Közalapítvány,"Tempus Labs (United States, Chicago)",41___TEMPUS_LABS_(UNITED_STATES)_(CHICAGO),
Texas A and M University,"Texas Health and Science University (United States, Austin) - THSU",41___TEXAS_HEALTH_AND_SCIENCE_UNIVERSITY_(AUSTIN),
The Wellcome Trust DBT India Alliance,"Wellcome Trust/DBT India Alliance (India, New Delhi)",41___WELLCOME_TRUST/DBT_INDIA_ALLIANCE_(NEW_DELHI),
U.S. Department of Defense,"Department of Defence (Australia, Melbourne)",41___DEPARTMENT_OF_DEFENCE_(MELBOURNE),
U.S. Department of Education,"Department of Education (Australia, Canberra)",41___DEPARTMENT_OF_EDUCATION_(CANBERRA),
U.S. Department of Energy,"Department of Atomic Energy (India, Mumbai) - DAE",41___DEPARTMENT_OF_ATOMIC_ENERGY_(MUMBAI),
U.S. Department of Health and Human Services,"Department of Health and Human Services (Australia, Melbourne) - DHHS",41___DEPARTMENT_OF_HEALTH_AND_HUMAN_SERVICES_(MELBOURNE),
U.S. Department of Veterans Affairs,"Department of Veterans Affairs (Australia, Brisbane)",41___DEPARTMENT_OF_VETERANS_AFFAIRS_(BRISBANE),
U.S. Food and Drug Administration,"Food and Drug Administration (Thailand, Nonthaburi)",41___FOOD_AND_DRUG_ADMINISTRATION_(NONTHABURI),
U.S. National Library of Medicine,"Friends of the National Library of Medicine (United States, Bethesda) - FNLM",41___FRIENDS_OF_THE_NATIONAL_LIBRARY_OF_MEDICINE_(BETHESDA),
U.S. Naval Research Laboratory,"Naval Materials Research Laboratory (India, Ambarnath) - NMRL",41___NAVAL_MATERIALS_RESEARCH_LABORATORY_(AMBARNATH),
UK Space Agency,"Canadian Space Agency (Canada, Longueuil) - CSA",41___CANADIAN_SPACE_AGENCY_(LONGUEUIL),
United States - Israel Binational Science Foundation,"United States-Israel Binational Science Foundation (Israel, Jerusalem) - BSF",41___UNITED_STATES-ISRAEL_BINATIONAL_SCIENCE_FOUNDATION_(JERUSALEM),
Universidad Nacional de Cuyo,"Universidad Católica de Cuyo (Argentina, San Juan)",41___UNIVERSIDAD_CATÓLICA_DE_CUYO_(SAN_JUAN),
Universiteit Gent,"Təfəkkür Universiteti (Azerbaijan, Baku)",41___TEFEKKUR_UNIVERSITETI_(BAKU),
Université de Paris,"Drépanocytose : groupe de Recherche de Paris – Sorbonne Université (France, Paris) - DREPS",41___DRÉPANOCYTOSE_:_GROUPE_DE_RECHERCHE_DE_PARIS_–_SORBONNE_UNIVERSITÉ_(PARIS),
Univerzita Karlova v Praze,"Trencianska Univerzita Alexandra Dubceka V Trencine (Slovakia, Trenčín)",41___TRENCIANSKA_UNIVERZITA_ALEXANDRA_DUBCEKA_V_TRENCINE_(TRENČÍN),
Vetenskapsrådet,still_not_found,,
William T. Grant Foundation,"William Thomas Grant Foundation (United States, New York)",41___WILLIAM_THOMAS_GRANT_FOUNDATION_(NEW_YORK),
William and Flora Hewlett Foundation,"Australian Flora Foundation (Australia, Sydney) - AFF",41___AUSTRALIAN_FLORA_FOUNDATION_(SYDNEY),
“la Caixa” Foundation,"Caixa Cultural (Brazil, Brasília)",41___CAIXA_CULTURAL_(BRASÍLIA),
